#name ra dec peak peak_sigma pol_flux_density pol_flux_density_sigma pol_angle pol_angle_sigma
AT20GJ113253-532903 173.225 -53.484 163 8 <11 - <6.6 -
AT20GJ113259-522123 173.246 -52.357 68 4 <8 - <11.5 -
AT20GJ113305-040046 173.272 -4.013 108 6 <6 - <5.6 -
AT20GJ113305-275712 173.272 -27.953 67 5 <14 - <20.7 -
AT20GJ113308-330831 173.286 -33.142 89 5 <7 - <7.8 -
AT20GJ113315-250109 173.314 -25.019 103 7 <7 - <6.4 -
AT20GJ113316-631726 173.318 -63.291 155 8 <7 - <4.3 -
AT20GJ113344-472042 173.437 -47.345 170 8 <11 - <6.3 -
AT20GJ113441-260911 173.674 -26.153 73 5 <7 - <9.0 -
AT20GJ113456-201225 173.736 -20.207 53 4 <9 - <17.6 -
AT20GJ113506-715500 173.779 -71.917 77 4 <6 - <7.8 -
AT20GJ113514-182411 173.810 -18.403 52 4 <7 - <12.7 -
AT20GJ113520-540248 173.834 -54.047 80 5 <12 - <15.5 -
AT20GJ113520-305630 173.837 -30.942 135 7 <14 - <10.2 -
AT20GJ113533-534452 173.888 -53.748 107 5 <10 - <9.5 -
AT20GJ113545-365124 173.939 -36.857 53 4 <18 - <34.5 -
AT20GJ113558-042826 173.994 -4.474 459 22 8 1 1.8 30
AT20GJ113601-682705 174.008 -68.452 585 27 16 3 2.7 61
AT20GJ113603-173313 174.014 -17.554 182 12 10 3 5.6 82
AT20GJ113609-741545 174.041 -74.263 329 17 <6 - <1.8 -
AT20GJ113624-033028 174.103 -3.508 385 19 <6 - <1.6 -
AT20GJ113638-052313 174.159 -5.387 163 8 <6 - <3.7 -
AT20GJ113652-220920 174.218 -22.156 80 5 <6 - <7.9 -
AT20GJ113724-822905 174.353 -82.485 63 3 <6 - <9.5 -
AT20GJ113724-080556 174.354 -8.099 63 3 <6 - <9.5 -
AT20GJ113855-465342 174.732 -46.895 119 5 <9 - <7.6 -
AT20GJ113910-135042 174.795 -13.845 535 26 7 2 1.3 55
AT20GJ113917-322257 174.824 -32.383 153 4 <10 - <12.0 -
AT20GJ113952-355053 174.967 -35.848 98 5 <13 - <12.8 -
AT20GJ114000-632636 175.001 -63.443 60 3 <7 - <12.1 -
AT20GJ114002-464103 175.011 -46.684 65 3 <6 - <9.2 -
AT20GJ114010-273040 175.044 -27.511 154 9 <7 - <4.9 -
AT20GJ114011-680649 175.046 -68.114 99 5 <6 - <6.1 -
AT20GJ114016-524022 175.068 -52.673 56 3 <6 - <10.6 -
AT20GJ114025-260255 175.106 -26.049 57 4 <16 - <27.2 -
AT20GJ114101-220404 175.256 -22.068 99 7 <9 - <8.8 -
AT20GJ114113-565925 175.306 -56.990 41 2 <6 - <14.6 -
AT20GJ114136-285103 175.404 -28.851 185 11 24 4 13.1 -81
AT20GJ114145-550516 175.440 -55.088 80 4 <9 - <11.6 -
AT20GJ114153-380459 175.473 -38.083 48 3 <15 - <31.9 -
AT20GJ114218-084231 175.578 -8.709 77 4 <6 - <7.8 -
AT20GJ114226-263312 175.610 -26.554 125 8 8 3 6.5 45
AT20GJ114257-370545 175.740 -37.096 69 4 <10 - <14.4 -
AT20GJ114327-343656 175.864 -34.616 110 6 <11 - <9.8 -
AT20GJ114448-401508 176.200 -40.252 85 4 <6 - <7.1 -
AT20GJ114501-390917 176.256 -39.155 160 8 <8 - <4.9 -
AT20GJ114503-325824 176.265 -32.973 75 4 <6 - <8.0 -
AT20GJ114521-225029 176.341 -22.841 270 18 <7 - <2.7 -
AT20GJ114531-483610 176.380 -48.603 527 23 <7 - <1.5 -
AT20GJ114533-152910 176.390 -15.486 54 3 <14 - <26.2 -
AT20GJ114539-105350 176.413 -10.897 73 4 <6 - <8.2 -
AT20GJ114553-695404 176.473 -69.901 855 43 13 2 1.5 -82
AT20GJ114608-244734 176.535 -24.793 709 46 38 3 5.4 -30
AT20GJ114626-285919 176.609 -28.989 425 28 21 2 5.0 -11
AT20GJ114628-332843 176.619 -33.479 314 14 <9 - <2.8 -
AT20GJ114653-674204 176.722 -67.701 56 3 <6 - <10.8 -
AT20GJ114701-381210 176.756 -38.203 1376 69 24 3 1.8 19
AT20GJ114705-043540 176.771 -4.595 101 5 <6 - <5.9 -
AT20GJ114706-262515 176.776 -26.421 150 10 <6 - <4.0 -
AT20GJ114733-675341 176.889 -67.895 1888 94 31 2 1.7 -23
AT20GJ114751-072438 176.965 -7.411 588 29 <6 - <1.0 -
AT20GJ114756-195220 176.986 -19.872 85 6 <13 - <15.5 -
AT20GJ114807-004645 177.031 -0.779 134 7 <6 - <4.5 -
AT20GJ114815-480538 177.066 -48.094 137 7 <9 - <6.3 -
AT20GJ114818-674536 177.075 -67.760 260 13 <7 - <2.5 -
AT20GJ114834-553316 177.145 -55.555 59 3 <11 - <19.3 -
AT20GJ114838-650837 177.159 -65.144 61 3 <6 - <9.8 -
AT20GJ114844-781933 177.185 -78.326 124 6 <6 - <4.8 -
AT20GJ114856-040409 177.234 -4.069 237 12 <6 - <2.5 -
AT20GJ114901-372344 177.258 -37.396 73 4 <14 - <18.8 -
AT20GJ114917-402948 177.324 -40.497 112 6 <8 - <7.5 -
AT20GJ114920-483908 177.335 -48.652 88 5 <6 - <6.8 -
AT20GJ114947-245459 177.448 -24.917 52 4 <17 - <32.2 -
AT20GJ115017-571056 177.575 -57.182 476 24 <13 - <2.8 -
AT20GJ115024-064024 177.601 -6.674 342 17 <6 - <1.8 -
AT20GJ115031-842623 177.629 -84.440 51 2 <6 - <11.7 -
AT20GJ115031-193049 177.630 -19.514 289 19 8 2 2.6 0
AT20GJ115034-541642 177.642 -54.278 212 11 <10 - <4.8 -
AT20GJ115044-002354 177.684 -0.399 862 41 22 2 2.6 -52
AT20GJ115103-172400 177.763 -17.400 237 15 12 2 5.0 -3
AT20GJ115113-672810 177.806 -67.470 449 22 <7 - <1.7 -
AT20GJ115150-834351 177.959 -83.731 325 2 - - - -
AT20GJ115217-084103 178.072 -8.684 666 33 15 1 2.3 -78
AT20GJ115253-834410 178.224 -83.736 521 24 34 2 6.5 79
AT20GJ115255-051947 178.232 -5.330 121 6 <6 - <5.0 -
AT20GJ115256-723924 178.237 -72.657 104 4 <6 - <7.1 -
AT20GJ115316-704602 178.320 -70.767 87 4 <6 - <6.9 -
AT20GJ115322-582158 178.343 -58.366 61 4 <9 - <14.7 -
AT20GJ115322-110512 178.343 -11.087 107 5 <6 - <5.6 -
AT20GJ115336-352232 178.400 -35.376 200 10 <9 - <4.5 -
AT20GJ115351-032934 178.463 -3.493 60 3 <6 - <10.1 -
AT20GJ115403-545631 178.516 -54.942 62 4 <11 - <17.0 -
AT20GJ115405-532011 178.521 -53.336 41 2 <6 - <14.6 -
AT20GJ115406-324243 178.526 -32.712 307 13 11 2 3.5 -74
AT20GJ115414-654216 178.562 -65.705 297 15 <7 - <2.5 -
AT20GJ115421-350529 178.591 -35.091 889 36 15 3 1.7 4
AT20GJ115450-281250 178.710 -28.214 76 5 <13 - <17.4 -
AT20GJ115450-735041 178.712 -73.845 77 4 <6 - <7.8 -
AT20GJ115503-310759 178.764 -31.133 150 8 <16 - <10.8 -
AT20GJ115514-294927 178.810 -29.824 112 7 <13 - <11.3 -
AT20GJ115524-573047 178.850 -57.513 122 6 <9 - <7.4 -
AT20GJ115533-363011 178.888 -36.503 68 4 <7 - <11.0 -
AT20GJ115536-121634 178.904 -12.276 100 4 <6 - <6.0 -
AT20GJ115542-562546 178.929 -56.430 90 5 <10 - <10.7 -
AT20GJ115545-101750 178.940 -10.297 92 5 <6 - <6.6 -
AT20GJ115546-810117 178.942 -81.022 75 4 <6 - <8.1 -
AT20GJ115546-761907 178.945 -76.319 58 3 <6 - <10.4 -
AT20GJ115648-082645 179.204 -8.446 182 9 <6 - <3.3 -
AT20GJ115652-153639 179.217 -15.611 90 6 <9 - <9.6 -
AT20GJ115724-753141 179.353 -75.528 42 1 <6 - <14.4 -
AT20GJ115848-205601 179.704 -20.934 64 4 <12 - <18.8 -
AT20GJ115855-580327 179.733 -58.058 107 6 <7 - <6.7 -
AT20GJ115910-215005 179.794 -21.835 46 3 <17 - <36.5 -
AT20GJ115911-222838 179.796 -22.477 333 21 <7 - <2.3 -
AT20GJ115912-094051 179.804 -9.681 345 17 11 1 3.0 76
AT20GJ115918-663539 179.826 -66.594 160 8 <6 - <3.9 -
AT20GJ115921-214246 179.838 -21.713 224 15 <7 - <3.1 -
AT20GJ115951-770914 179.964 -77.154 101 5 <6 - <5.9 -
AT20GJ115951-214853 179.966 -21.815 308 20 <6 - <2.0 -
AT20GJ115952-504309 179.970 -50.719 91 4 <9 - <9.8 -
AT20GJ120012-025403 180.051 -2.901 58 4 <12 - <21.2 -
AT20GJ120201-122315 180.507 -12.388 63 3 <11 - <17.7 -
AT20GJ120212-104051 180.551 -10.681 111 3 <9 - <13.7 -
AT20GJ120234-052759 180.642 -5.467 672 34 32 2 4.8 31
AT20GJ120239-374504 180.663 -37.751 112 6 <9 - <8.0 -
AT20GJ120242-125204 180.676 -12.868 234 9 <28 - <12.0 -
AT20GJ120248-365545 180.703 -36.929 104 5 <11 - <10.9 -
AT20GJ120333-262810 180.889 -26.470 103 5 <9 - <8.4 -
AT20GJ120334-132536 180.894 -13.427 143 7 <8 - <5.7 -
AT20GJ120353-161253 180.973 -16.215 214 14 <13 - <6.2 -
AT20GJ120401-042247 181.005 -4.380 296 6 <23 - <19.4 -
AT20GJ120405-002948 181.023 -0.497 65 4 <13 - <19.5 -
AT20GJ120416-071009 181.070 -7.169 115 6 <14 - <12.5 -
AT20GJ120440-302916 181.168 -30.488 86 4 <11 - <13.2 -
AT20GJ120458-505556 181.246 -50.932 207 11 <11 - <5.5 -
AT20GJ120503-134106 181.266 -13.685 76 4 <12 - <16.3 -
AT20GJ120533-263404 181.389 -26.568 842 55 50 2 5.9 -29
AT20GJ120630-503441 181.627 -50.578 51 3 <6 - <11.8 -
AT20GJ120723-040743 181.846 -4.129 42 2 <11 - <26.0 -
AT20GJ120723-043900 181.848 -4.650 87 4 <6 - <6.9 -
AT20GJ120724-473453 181.850 -47.582 344 16 <12 - <3.4 -
AT20GJ120727-132717 181.865 -13.455 92 5 <14 - <15.3 -
AT20GJ120728-270310 181.868 -27.053 139 7 <9 - <6.7 -
AT20GJ120738-223252 181.909 -22.548 60 4 <8 - <14.0 -
AT20GJ120741-010630 181.923 -1.109 211 10 <8 - <4.0 -
AT20GJ120801-524748 182.008 -52.797 49 2 <6 - <12.2 -
AT20GJ120802-043529 182.009 -4.592 170 9 9 3 5.6 -82
AT20GJ120816-561255 182.068 -56.215 66 1 - - - -
AT20GJ120817-044812 182.073 -4.803 120 7 <23 - <19.0 -
AT20GJ120818-780948 182.076 -78.163 186 10 14 3 7.4 42
AT20GJ120823-142144 182.097 -14.362 83 5 <14 - <17.3 -
AT20GJ120900-231339 182.252 -23.228 71 5 <32 - <44.4 -
AT20GJ120902-240619 182.261 -24.106 1147 74 14 2 1.2 -49
AT20GJ120914-203238 182.312 -20.544 707 46 <7 - <1.0 -
AT20GJ120935-401613 182.396 -40.270 171 9 <13 - <7.4 -
AT20GJ120940-321452 182.417 -32.248 322 15 19 3 6.0 -41
AT20GJ121004-121746 182.517 -12.296 84 5 <16 - <19.2 -
AT20GJ121031-013652 182.631 -1.615 76 3 <12 - <26.8 -
AT20GJ121044-435437 182.686 -43.910 129 6 <13 - <9.8 -
AT20GJ121101-375519 182.757 -37.922 156 8 <11 - <7.1 -
AT20GJ121103-112759 182.763 -11.466 50 3 <11 - <22.2 -
AT20GJ121128-351001 182.869 -35.167 110 5 <12 - <11.2 -
AT20GJ121135-283035 182.898 -28.510 87 6 <7 - <8.3 -
AT20GJ121203-222150 183.016 -22.364 453 30 21 2 4.7 -6
AT20GJ121205-114933 183.021 -11.826 55 3 <9 - <16.9 -
AT20GJ121255-175345 183.230 -17.896 103 7 <10 - <9.6 -
AT20GJ121322-100326 183.345 -10.057 202 10 <12 - <6.1 -
AT20GJ121340-272423 183.417 -27.407 151 10 <7 - <4.6 -
AT20GJ121343-363326 183.429 -36.557 73 4 <8 - <11.5 -
AT20GJ121344-165926 183.433 -16.991 110 7 <17 - <15.9 -
AT20GJ121349-390644 183.458 -39.112 100 5 <6 - <6.0 -
AT20GJ121350-434324 183.459 -43.724 128 5 <11 - <8.5 -
AT20GJ121403-192142 183.515 -19.362 118 8 <9 - <7.9 -
AT20GJ121445-111312 183.691 -11.220 72 4 <14 - <19.1 -
AT20GJ121450-030648 183.709 -3.114 83 5 <17 - <20.2 -
AT20GJ121514-062802 183.810 -6.467 270 13 <14 - <5.3 -
AT20GJ121546-173145 183.945 -17.529 1592 105 <16 - <1.0 -
AT20GJ121602-373412 184.009 -37.570 184 7 <10 - <5.2 -
AT20GJ121610-820457 184.043 -82.083 103 4 <7 - <6.4 -
AT20GJ121622-010753 184.093 -1.132 133 7 <14 - <10.6 -
AT20GJ121624-103316 184.101 -10.554 167 8 11 3 6.7 -13
AT20GJ121624-354632 184.104 -35.776 128 6 <11 - <8.2 -
AT20GJ121744-214722 184.436 -21.790 65 3 <6 - <9.8 -
AT20GJ121758-002945 184.495 -0.496 404 20 <11 - <2.8 -
AT20GJ121806-460030 184.526 -46.008 696 31 66 3 9.5 -40
AT20GJ121834-011953 184.645 -1.331 173 9 <9 - <5.4 -
AT20GJ121836-063120 184.651 -6.522 83 4 <10 - <12.3 -
AT20GJ121856-215955 184.737 -21.999 54 4 <11 - <19.9 -
AT20GJ121918-253355 184.827 -25.565 66 5 <17 - <26.4 -
AT20GJ122017-265347 185.072 -26.896 96 6 <7 - <6.9 -
AT20GJ122026-560443 185.108 -56.079 51 1 - - - -
AT20GJ122033-273601 185.138 -27.600 183 12 <7 - <3.6 -
AT20GJ122101-342318 185.257 -34.389 253 12 <9 - <3.4 -
AT20GJ122112-024858 185.304 -2.816 145 7 <6 - <4.1 -
AT20GJ122125-111137 185.354 -11.194 94 5 <6 - <6.4 -
AT20GJ122146-455907 185.445 -45.985 369 17 <12 - <3.3 -
AT20GJ122148-035808 185.454 -3.969 129 7 <6 - <4.7 -
AT20GJ122206-603532 185.528 -60.592 382 19 <6 - <1.7 -
AT20GJ122210-412258 185.543 -41.383 244 12 <11 - <4.7 -
AT20GJ122216-164554 185.567 -16.765 87 5 <15 - <17.2 -
AT20GJ122225-304624 185.604 -30.774 109 6 <12 - <11.0 -
AT20GJ122229-645835 185.623 -64.976 53 3 <7 - <13.7 -
AT20GJ122241-141530 185.672 -14.259 93 5 <6 - <6.4 -
AT20GJ122312-154407 185.801 -15.736 105 7 <13 - <12.8 -
AT20GJ122329-423422 185.871 -42.573 181 9 11 3 6.4 1
AT20GJ122339-605444 185.916 -60.912 72 4 <7 - <9.1 -
AT20GJ122343-423532 185.931 -42.592 330 17 <11 - <3.2 -
AT20GJ122345-054658 185.942 -5.783 170 9 7 1 4.1 37
AT20GJ122430-665019 186.128 -66.839 170 9 <6 - <3.5 -
AT20GJ122431-291602 186.130 -29.267 142 9 <6 - <4.2 -
AT20GJ122454-831310 186.226 -83.219 685 29 16 2 2.3 86
AT20GJ122501-293821 186.255 -29.639 75 5 <12 - <15.7 -
AT20GJ122515-284956 186.316 -28.832 95 7 <15 - <15.4 -
AT20GJ122535-731339 186.398 -73.228 51 1 - - - -
AT20GJ122543-493646 186.430 -49.613 313 16 <10 - <3.2 -
AT20GJ122556-642556 186.484 -64.432 86 5 <7 - <8.4 -
AT20GJ122605-454812 186.525 -45.804 151 8 <12 - <7.9 -
AT20GJ122609-294012 186.541 -29.670 57 4 <10 - <16.8 -
AT20GJ122635-190438 186.648 -19.077 245 16 <9 - <3.6 -
AT20GJ122640-263002 186.668 -26.501 109 7 <6 - <5.5 -
AT20GJ122647-455739 186.699 -45.961 334 15 <9 - <2.8 -
AT20GJ122726-443639 186.861 -44.611 544 26 <9 - <1.7 -
AT20GJ122811-533318 187.047 -53.555 47 1 - - - -
AT20GJ122820-083810 187.084 -8.636 134 7 <6 - <4.5 -
AT20GJ122836-030440 187.154 -3.078 108 6 <6 - <5.5 -
AT20GJ122844-212618 187.187 -21.439 89 6 <17 - <19.0 -
AT20GJ122926-351615 187.362 -35.271 59 4 <10 - <16.9 -
AT20GJ122927-600333 187.363 -60.059 198 10 <9 - <4.4 -
AT20GJ122939-530332 187.416 -53.059 59 3 <6 - <10.2 -
AT20GJ122952-453728 187.470 -45.625 91 4 <9 - <9.9 -
AT20GJ123030-645206 187.626 -64.869 117 6 <7 - <5.9 -
AT20GJ123045-312123 187.688 -31.356 102 5 <7 - <7.4 -
AT20GJ123055-113909 187.731 -11.653 104 5 <6 - <5.8 -
AT20GJ123116-353319 187.819 -35.555 75 4 <7 - <9.6 -
AT20GJ123131-702039 187.882 -70.344 56 1 - - - -
AT20GJ123148-321314 187.953 -32.221 106 6 <8 - <8.0 -
AT20GJ123154-222145 187.977 -22.363 134 7 <12 - <8.9 -
AT20GJ123159-022404 188.000 -2.401 897 45 14 1 1.6 -16
AT20GJ123215-101524 188.066 -10.257 176 9 <6 - <3.4 -
AT20GJ123229-840247 188.122 -84.046 48 3 <6 - <12.4 -
AT20GJ123233-455239 188.141 -45.878 87 3 <11 - <18.5 -
AT20GJ123242-441133 188.179 -44.193 101 5 <7 - <7.4 -
AT20GJ123243-244552 188.180 -24.765 52 4 <13 - <24.1 -
AT20GJ123303-440049 188.264 -44.014 182 8 <10 - <5.3 -
AT20GJ123304-003133 188.267 -0.526 57 3 <6 - <10.6 -
AT20GJ123313-102517 188.304 -10.421 226 11 <6 - <2.7 -
AT20GJ123407-573552 188.529 -57.598 49 2 <6 - <12.3 -
AT20GJ123410-332638 188.542 -33.444 54 3 <11 - <20.2 -
AT20GJ123446-340858 188.693 -34.149 178 9 <7 - <4.2 -
AT20GJ123449-243232 188.707 -24.542 73 4 <8 - <10.7 -
AT20GJ123624-522910 189.103 -52.486 47 2 <6 - <12.8 -
AT20GJ123711-723531 189.299 -72.592 203 10 <7 - <3.7 -
AT20GJ123806-454129 189.525 -45.692 81 4 <7 - <8.5 -
AT20GJ123824-195913 189.602 -19.987 150 10 9 3 6.0 70
AT20GJ123827-410212 189.613 -41.037 73 4 <7 - <9.0 -
AT20GJ123838-065611 189.660 -6.936 189 9 8 2 4.1 39
AT20GJ123852-382557 189.720 -38.433 93 5 <15 - <15.8 -
AT20GJ123942-102326 189.929 -10.391 766 35 39 2 5.1 17
AT20GJ123946-684530 189.944 -68.759 291 15 <9 - <3.1 -
AT20GJ123959-113721 189.997 -11.623 81 4 <6 - <7.4 -
AT20GJ124011-604614 190.046 -60.771 78 4 <7 - <9.3 -
AT20GJ124025-171723 190.107 -17.290 143 9 <10 - <6.9 -
AT20GJ124037-112123 190.155 -11.357 68 4 <6 - <8.9 -
AT20GJ124057-572058 190.240 -57.349 67 1 - - - -
AT20GJ124114-273026 190.309 -27.507 78 6 <12 - <15.7 -
AT20GJ124159-500151 190.497 -50.031 84 4 <8 - <10.0 -
AT20GJ124219-044618 190.581 -4.772 174 9 <6 - <3.4 -
AT20GJ124220-165303 190.585 -16.884 77 4 <9 - <11.4 -
AT20GJ124310-294324 190.795 -29.723 268 18 <7 - <2.8 -
AT20GJ124311-211208 190.799 -21.202 73 5 <6 - <9.6 -
AT20GJ124334-394151 190.892 -39.698 173 9 <6 - <3.7 -
AT20GJ124345-681103 190.938 -68.184 354 18 8 3 2.3 -30
AT20GJ124345-820956 190.939 -82.166 58 3 6 2 11.2 -61
AT20GJ124352-021839 190.969 -2.311 80 4 <6 - <7.5 -
AT20GJ124414-263325 191.062 -26.557 163 10 <6 - <3.7 -
AT20GJ124433-521300 191.137 -52.217 210 11 <17 - <7.9 -
AT20GJ124448-595303 191.203 -59.884 74 3 <6 - <8.1 -
AT20GJ124521-241359 191.341 -24.233 117 6 <10 - <8.7 -
AT20GJ124553-161644 191.474 -16.279 678 44 40 3 5.9 47
AT20GJ124557-412846 191.491 -41.480 206 10 <8 - <4.1 -
AT20GJ124601-181453 191.507 -18.248 97 5 <8 - <8.7 -
AT20GJ124604-073045 191.517 -7.513 1132 57 29 2 2.6 -27
AT20GJ124611-444234 191.549 -44.710 108 5 <11 - <9.7 -
AT20GJ124646-254749 191.696 -25.797 2511 163 72 4 2.9 48
AT20GJ124759-234859 191.997 -23.816 140 7 <11 - <7.5 -
AT20GJ124822-063208 192.096 -6.536 487 24 7 2 1.4 -64
AT20GJ124823-851304 192.096 -85.218 68 3 <6 - <8.8 -
AT20GJ124823-195918 192.099 -19.988 689 35 <8 - <1.2 -
AT20GJ124828-455947 192.119 -45.997 1360 67 18 3 1.3 32
AT20GJ124835-445521 192.146 -44.923 43 3 <6 - <14.5 -
AT20GJ124849-411840 192.206 -41.311 278 10 17 3 8.6 -14
AT20GJ124905-232421 192.271 -23.406 96 6 <8 - <8.2 -
AT20GJ124922-173633 192.344 -17.609 79 4 <9 - <11.0 -
AT20GJ124942-151157 192.427 -15.199 98 5 <10 - <10.4 -
AT20GJ124948-830413 192.451 -83.070 82 4 <6 - <7.3 -
AT20GJ125019-194549 192.580 -19.764 51 4 <14 - <27.5 -
AT20GJ125022-443204 192.595 -44.535 320 16 <12 - <3.7 -
AT20GJ125037-463937 192.658 -46.660 162 8 <9 - <5.7 -
AT20GJ125037-024750 192.658 -2.797 109 6 <6 - <5.5 -
AT20GJ125059-884158 192.749 -88.700 93 5 <10 - <11.0 -
AT20GJ125107-541159 192.783 -54.200 58 1 - - - -
AT20GJ125109-251609 192.788 -25.269 79 6 <18 - <22.5 -
AT20GJ125114-171712 192.810 -17.287 239 12 <8 - <3.4 -
AT20GJ125124-344014 192.851 -34.671 73 4 <12 - <16.8 -
AT20GJ125135-192753 192.897 -19.465 163 8 <10 - <5.9 -
AT20GJ125139-351838 192.914 -35.311 206 10 <9 - <4.4 -
AT20GJ125226-115807 193.110 -11.969 138 7 <6 - <4.3 -
AT20GJ125243-673738 193.180 -67.627 679 34 11 3 1.6 -65
AT20GJ125258-331959 193.244 -33.333 261 13 <10 - <3.8 -
AT20GJ125319-285953 193.331 -28.998 98 7 <6 - <6.4 -
AT20GJ125345-654810 193.441 -65.803 89 3 <6 - <9.9 -
AT20GJ125359-405931 193.498 -40.992 141 6 <10 - <6.8 -
AT20GJ125403-474328 193.514 -47.725 92 5 <15 - <16.0 -
AT20GJ125437-200056 193.655 -20.016 506 25 12 3 2.3 -68
AT20GJ125438-123255 193.661 -12.549 83 2 11 1 23.4 35
AT20GJ125442-270938 193.676 -27.161 101 7 <11 - <11.3 -
AT20GJ125443-383356 193.679 -38.566 112 6 <6 - <5.6 -
AT20GJ125445-664137 193.688 -66.694 97 5 <6 - <6.5 -
AT20GJ125446-611134 193.695 -61.193 264 13 <13 - <5.1 -
AT20GJ125447-105351 193.697 -10.898 97 5 <6 - <6.2 -
AT20GJ125457-442456 193.740 -44.416 344 15 <10 - <3.0 -
AT20GJ125458-723230 193.745 -72.542 49 1 - - - -
AT20GJ125459-713818 193.749 -71.638 753 38 23 4 3.0 -78
AT20GJ125603-644915 194.014 -64.821 250 13 21 2 8.5 -89
AT20GJ125604-591943 194.021 -59.329 41 1 - - - -
AT20GJ125611-054721 194.046 -5.789 20024 996 1074 19 5.4 55
AT20GJ125612-402254 194.050 -40.382 66 3 <7 - <9.9 -
AT20GJ125615-114635 194.066 -11.777 123 6 <6 - <4.9 -
AT20GJ125625-215520 194.106 -21.922 142 7 <8 - <5.7 -
AT20GJ125711-172434 194.298 -17.409 83 5 <9 - <10.5 -
AT20GJ125720-333448 194.334 -33.580 150 3 <10 - <15.9 -
AT20GJ125724-290346 194.354 -29.063 60 5 <24 - <40.0 -
AT20GJ125748-254802 194.452 -25.801 90 6 <7 - <8.3 -
AT20GJ125759-315515 194.497 -31.921 1460 72 57 2 3.9 -76
AT20GJ125828-671942 194.619 -67.329 159 8 <9 - <5.7 -
AT20GJ125838-180001 194.659 -18.000 586 38 15 2 2.5 -14
AT20GJ125854-221930 194.727 -22.325 870 57 28 3 3.2 34
AT20GJ125856-175037 194.733 -17.844 148 10 <10 - <6.9 -
AT20GJ125908-231038 194.785 -23.177 223 11 <9 - <3.9 -
AT20GJ125950-322330 194.959 -32.392 183 9 <9 - <5.1 -
AT20GJ125954-180133 194.975 -18.026 89 6 <24 - <27.3 -
AT20GJ130031-441442 195.129 -44.245 78 3 <8 - <10.0 -
AT20GJ130042-325311 195.177 -32.887 234 12 <11 - <4.9 -
AT20GJ130058-231215 195.244 -23.204 188 10 <11 - <5.9 -
AT20GJ130100-322628 195.253 -32.441 176 9 <10 - <5.6 -
AT20GJ130227-444736 195.617 -44.793 70 3 <7 - <9.9 -
AT20GJ130310-771155 195.793 -77.199 54 2 6 1 13.7 19
AT20GJ130316-413922 195.819 -41.656 55 2 - - - -
AT20GJ130319-240503 195.832 -24.084 119 7 <14 - <11.6 -
AT20GJ130340-462103 195.918 -46.351 115 6 <7 - <6.0 -
AT20GJ130349-554031 195.955 -55.675 905 45 <13 - <1.4 -
AT20GJ130419-583006 196.080 -58.502 69 4 <6 - <8.7 -
AT20GJ130433-193251 196.141 -19.548 68 5 <6 - <8.8 -
AT20GJ130443-034602 196.182 -3.767 800 39 13 2 1.7 -38
AT20GJ130459-210642 196.246 -21.112 230 12 <12 - <5.2 -
AT20GJ130508-285041 196.285 -28.845 184 9 <11 - <5.9 -
AT20GJ130510-763250 196.292 -76.547 51 1 - - - -
AT20GJ130512-365545 196.304 -36.929 239 12 <13 - <5.5 -
AT20GJ130527-492804 196.364 -49.468 726 36 <9 - <1.2 -
AT20GJ130531-313251 196.380 -31.548 159 7 <11 - <6.8 -
AT20GJ130532-103318 196.387 -10.555 411 21 7 1 1.7 -50
AT20GJ130632-171859 196.636 -17.316 173 11 14 2 8.0 29
AT20GJ130641-242737 196.672 -24.460 62 4 <11 - <18.0 -
AT20GJ130642-214752 196.676 -21.798 71 5 <7 - <10.6 -
AT20GJ130704-170840 196.768 -17.145 59 4 <8 - <13.7 -
AT20GJ130712-223624 196.800 -22.607 74 5 <9 - <12.2 -
AT20GJ130713-431426 196.806 -43.241 51 2 - - - -
AT20GJ130715-320757 196.813 -32.133 205 10 <11 - <5.6 -
AT20GJ130715-760245 196.814 -76.046 71 1 - - - -
AT20GJ130723-501919 196.847 -50.322 68 1 - - - -
AT20GJ130737-161610 196.906 -16.270 115 7 <7 - <6.0 -
AT20GJ130757-030730 196.991 -3.125 131 7 <6 - <4.6 -
AT20GJ130817-670704 197.072 -67.118 611 29 26 2 4.3 41
AT20GJ130822-435203 197.094 -43.868 228 12 <11 - <4.7 -
AT20GJ130832-245832 197.136 -24.976 229 12 <11 - <4.8 -
AT20GJ130837-825934 197.158 -82.993 158 8 <10 - <6.1 -
AT20GJ130839-095032 197.163 -9.842 726 35 49 2 6.7 66
AT20GJ130841-242259 197.175 -24.383 57 4 <9 - <16.3 -
AT20GJ130847-673837 197.197 -67.644 123 6 <7 - <5.4 -
AT20GJ130939-680849 197.414 -68.147 65 3 <6 - <9.8 -
AT20GJ130948-394831 197.453 -39.809 416 20 <11 - <2.5 -
AT20GJ131003-732645 197.513 -73.446 186 10 <8 - <4.4 -
AT20GJ131043-555209 197.680 -55.869 47 1 - - - -
AT20GJ131050-863638 197.711 -86.611 66 4 <6 - <9.1 -
AT20GJ131102-790115 197.760 -79.021 47 2 <6 - <12.8 -
AT20GJ131104-823428 197.769 -82.575 45 2 <6 - <13.4 -
AT20GJ131124-442240 197.850 -44.378 44 2 <7 - <16.9 -
AT20GJ131137-232957 197.906 -23.499 60 4 <10 - <16.9 -
AT20GJ131139-221641 197.914 -22.278 190 10 20 2 10.4 -80
AT20GJ131212-603538 198.051 -60.594 50 2 <6 - <11.9 -
